T5,T5_units,P5,P5_units,composition,phi,tau,tau_units,ignition_type,ignition_target,ignition_amount,ignition_units,filename
2220,K,1.18,bar,"H2:0.0174, CO:0.0174, O2:0.0347, Ar:0.9306",0.5014409221902016,46.0,us,max,OHEX;,,,x10001026.xml
1055,K,15.98,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,6271.0,us,max,OHEX;,,,x10001027_x.xml
1058,K,16.45,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,5985.0,us,max,OHEX;,,,x10001027_x.xml
1084,K,16.13,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,5671.0,us,max,OHEX;,,,x10001027_x.xml
1101,K,16.17,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,5092.0,us,max,OHEX;,,,x10001027_x.xml
1156,K,16.95,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,2251.0,us,max,OHEX;,,,x10001027_x.xml
1174,K,17.02,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,1488.0,us,max,OHEX;,,,x10001027_x.xml
1179,K,16.54,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,1320.0,us,max,OHEX;,,,x10001027_x.xml
1194,K,16.35,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,929.0,us,max,OHEX;,,,x10001027_x.xml
1232,K,16.31,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,451.0,us,max,OHEX;,,,x10001027_x.xml
1247,K,15.67,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,312.0,us,max,OHEX;,,,x10001027_x.xml
1288,K,16.3,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,203.0,us,max,OHEX;,,,x10001027_x.xml
1359,K,16.8,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,87.0,us,max,OHEX;,,,x10001027_x.xml
1385,K,16.28,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,77.0,us,max,OHEX;,,,x10001027_x.xml
1470,K,15.67,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,34.0,us,max,OHEX;,,,x10001027_x.xml
1042,K,4.55,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,3231.0,us,max,OHEX;,,,x10001028.xml
1042,K,4.01,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,2833.0,us,max,OHEX;,,,x10001028.xml
1049,K,4.56,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,4621.0,us,max,OHEX;,,,x10001028.xml
1089,K,4.21,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,1573.0,us,max,OHEX;,,,x10001028.xml
1119,K,4.15,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,1085.0,us,max,OHEX;,,,x10001028.xml
1146,K,4.15,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,1224.0,us,max,OHEX;,,,x10001028.xml
1159,K,3.93,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,694.0,us,max,OHEX;,,,x10001028.xml
1215,K,3.93,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,402.0,us,max,OHEX;,,,x10001028.xml
