,mu,mu_star,sigma,mu_star_conf
C4H2 + M <=> C4H + H + M,1.7837183821346694e-07,4.30576494845755e-07,5.455139324735572e-07,1.909820960943455e-07
C4H2 <=> 2 C2H,2.7554418340984453e-08,3.116170945820103e-07,4.4792235400019245e-07,1.775270534034906e-07
C2H3 + H2CCCCH <=> 2 H2CCCH,1.1241110216253695e-08,4.748432044551678e-07,7.134738974694354e-07,3.213337769387753e-07
CH2 + H2CCCCH <=> C2H + C3H4,-1.790150576961698e-07,4.296686027383946e-07,6.697480641335322e-07,2.847887379965401e-07
H2 + H2CCCCH <=> C2H2 + C2H3,-5.86617899772856e-09,3.2546442663351767e-07,4.219217702429342e-07,1.441168164244955e-07
H2CCCCH + O2 <=> CH2CO + HCCO,-6.271631996091638e-08,4.759624574471687e-07,6.008256327030375e-07,2.129548557283715e-07
H2CCCCH + OH <=> C4H2 + H2O,-1.5764140617257427e-07,3.572110979593197e-07,4.497755575187358e-07,1.7875090805546623e-07
H2CCCCH + O <=> C2H + CH2CO,1.8756366609760647e-07,3.570480333109292e-07,3.6793238522017336e-07,1.08091954404035e-07
H + H2CCCCH <=> C4H2 + H2,-1.982129562310278e-07,3.1801813474581176e-07,4.029025834383678e-07,1.7535853784093345e-07
C3H2 + CH2 <=> H + H2CCCCH,1.0175114546704996e-07,1.9366104646964696e-07,2.337549937767459e-07,9.369183355708706e-08
C2H + C2H2 <=> H2CCCCH,-2.0908113096909668e-07,4.507700363551946e-07,6.266993882570474e-07,3.2268762276781783e-07
CH + H2CCCH <=> H + H2CCCCH,6.635168610197534e-09,2.4798922254471987e-07,3.224718660226104e-07,1.0768721354883247e-07
2 C2H2 <=> H + H2CCCCH,1.605968079512618e-07,3.9655934423397824e-07,6.010349253495545e-07,2.917868661681335e-07
C4H2 + H (+M) <=> H2CCCCH (+M),-7.385427524020347e-08,1.0927287004540386e-07,2.7711948687769567e-07,1.4741415014791378e-07
C2H3 + C4H4 <=> C2H4 + H2CCCCH,-4.981326522328305e-08,3.225213890292387e-07,4.031665715736909e-07,1.3099228228439137e-07
C2H + C4H4 <=> C2H2 + H2CCCCH,1.6949386484641962e-07,4.5532273138295353e-07,6.520628708143823e-07,2.3799025756131114e-07
C2H + C4H4 <=> C2H3 + C4H2,2.5177370650123967e-07,2.9034726567381834e-07,2.755055026992099e-07,1.3832212471226168e-07
C4H4 + OH <=> H2CCCCH + H2O,-4.780850199507874e-08,2.716472408434554e-07,3.985425687838436e-07,1.646664534952536e-07
C4H4 + O <=> C3H4 + CO,9.84485965476359e-09,1.9734998649058317e-07,2.5127422944179273e-07,8.341365615776589e-08
C2H2 + C2H3 <=> C4H4 + H,-1.512271160690949e-07,3.3030953434171676e-07,3.735856910898901e-07,1.1678839167512123e-07
CH2 + H2CCCH <=> C4H4 + H,-8.752963306274023e-08,3.640476016453501e-07,4.550069360337667e-07,1.4318324651745085e-07
C4H4 + H <=> H2 + H2CCCCH,-1.7165375505256396e-08,2.8955402064355993e-07,4.051433982616655e-07,1.450923862891403e-07
C4H4 + O <=> H2CCCH + HCO,-1.118942534300523e-07,3.4681772799099355e-07,4.919003651012365e-07,2.0305971100048342e-07
C4H4 + M <=> H + H2CCCCH + M,2.022761117906841e-08,3.249194623008443e-07,4.888151281788867e-07,1.9368664326523305e-07
C4H4 <=> 2 C2H2,8.218827363564651e-08,1.4572428449106165e-07,1.8387833668587977e-07,7.849386120901622e-08
C3H2 + CH3 <=> C4H4 + H,9.274717749392641e-10,3.3994211227164945e-07,4.385391389267402e-07,1.528967323203012e-07
C2H + C2H4 <=> C4H4 + H,1.6799099320236878e-07,4.884333640403259e-07,6.666527340287086e-07,3.2827506940488543e-07
C2H + i-C4H5 <=> 2 H2CCCH,8.768330816839188e-08,2.162970526628651e-07,3.4544793444526133e-07,1.5162914878221994e-07
OH + i-C4H5 <=> C4H4 + H2O,-3.900041493868901e-08,3.714098468781928e-07,5.123668432150419e-07,1.8951471534341917e-07
H + i-C4H5 <=> CH3 + H2CCCH,-2.573488827154084e-07,5.147777637111227e-07,6.871087708675003e-07,2.7658743557875197e-07
H + i-C4H5 <=> C4H4 + H2,-2.2551182660464562e-07,4.072504653525719e-07,5.490596149821556e-07,1.921970313283117e-07
O2 + i-C4H5 <=> CH2CHO + CH2CO,8.39568844240063e-09,3.696922448357626e-07,4.858426892279457e-07,1.729122962518434e-07
O2 + i-C4H5 <=> C4H4 + HO2,1.218075297410887e-07,2.6197093489583307e-07,3.86123039866912e-07,1.875575949429839e-07
i-C4H5 (+M) <=> C4H4 + H (+M),8.856944908119141e-08,4.596423863834864e-07,7.232782733925642e-07,3.3704920766345645e-07
i-C4H5 + M <=> C2H2 + C2H3 + M,-3.6948556477226367e-07,5.969367459772334e-07,1.0122011906195757e-06,5.790683919490356e-07
2 C2H3 <=> H + i-C4H5,-1.8098753691909442e-07,4.5561880546066957e-07,5.702357655494197e-07,1.9608888078868894e-07
C4H6 + H2CCCH <=> C3H4 + i-C4H5,8.186653474215057e-08,2.348803598057106e-07,2.783466055999913e-07,9.45583846242975e-08
C2H3 + C4H6 <=> C2H4 + i-C4H5,-1.5619573886783172e-07,1.8824584567967517e-07,1.9361353627384322e-07,8.864617250595738e-08
C4H6 + CH3 <=> CH4 + i-C4H5,-9.008710702035229e-08,2.812775122609247e-07,3.960780539863958e-07,1.8509866105033498e-07
C4H6 + OH <=> C2H3 + CH3CHO,3.6541727654361764e-08,2.479339418483592e-07,3.174077499397944e-07,9.595120399899307e-08
