,mu,mu_star,sigma,mu_star_conf
CH2OCH2 + H <=> CH3CHO + H,-1.9718119902461513e-07,4.117053743528855e-07,5.614671709882568e-07,3.1282289624750127e-07
CH2OCH2 + H <=> CH2OCH + H2,6.062515907807276e-08,4.090746373576269e-07,4.819859204434946e-07,1.4129585564366259e-07
CH2OCH2 + H <=> C2H4 + OH,-1.418453707796653e-07,1.930264180303979e-07,2.9672305158266446e-07,2.3634999340373653e-07
CH2OCH2 + O <=> CH2OCH + OH,2.0368612010477025e-07,4.168137220269948e-07,5.422543183387435e-07,2.666843215336417e-07
CH2OCH2 + OH <=> CH2OCH + H2O,-1.2127377574255594e-07,1.371329038937411e-07,2.1354442997864285e-07,1.522259887229325e-07
CH2OCH2 + CH3 <=> CH2OCH + CH4,-3.5835126183376396e-07,3.8916851106431784e-07,4.407905799628735e-07,3.3984088792029875e-07
CH3 + CH4 <=> C2H5 + H2,9.252195652506198e-08,3.488624647821428e-07,4.1418690265974074e-07,1.4434233750338772e-07
C2H5 + CH2OH <=> C2H4 + CH3OH,-3.5035230684729517e-07,4.889159867270796e-07,4.509370736441752e-07,1.7566638131316898e-07
C2H5 + HO2 <=> CH3CH2O + OH,2.792754507067362e-07,3.0064305704586863e-07,2.3633749442178352e-07,1.5568722007637724e-07
2 CH3 <=> C2H5 + H,1.6538585032170084e-07,2.2472393671837558e-07,2.883611650881761e-07,1.8377958059649334e-07
C2H5 + O2 <=> C2H4 + HO2,2.1045985721307638e-07,2.7930275339954137e-07,2.7990029591997924e-07,1.5878420199856875e-07
C2H5 + O2 <=> C2H5O2,-5.228650090791418e-08,1.53351080373251e-07,1.8260200289359857e-07,7.177081107602382e-08
C2H5 + O <=> CH2O + CH3,5.998638473235401e-08,2.9461363822673926e-07,3.3582768216217994e-07,7.426143973096534e-08
C2H5 + O <=> CH3CHO + H,-7.921299660139728e-08,2.7916488093772576e-07,4.297561996554742e-07,2.3092005331730562e-07
C2H5 + O <=> C2H4 + OH,8.721618811678751e-08,3.2872637845965735e-07,3.608803256751412e-07,5.4567511880416305e-08
C2H5 + H (+M) <=> C2H6 (+M),6.865181588559506e-08,4.956257272258806e-07,6.292221669887022e-07,2.120881230415049e-07
C2H5 + O2 <=> CH2OCH2 + OH,-1.4341271114179424e-07,5.405007313143947e-07,6.977401583981713e-07,2.8697424126989367e-07
CH2CHOO + OH <=> C2H3OH + O2,-1.099176710074095e-07,3.3307882452753703e-07,3.8278238074830596e-07,1.315500388557511e-07
CH2CHOO + OH <=> CH2CHO + HO2,1.2179717449969545e-07,4.3601077898055294e-07,5.928505985087393e-07,2.98076860960669e-07
CH2CHOO + H <=> CH2CHO + OH,-2.2975867531322823e-07,2.2975867531322823e-07,1.0446477203743164e-07,9.246489550494991e-08
C2H3 + O2 <=> CH2CHOO,1.545577916017199e-07,2.416774672247647e-07,,1.0680316168898806e-07
CH2CHOO <=> CH2CHO + O,3.1967305268014604e-08,2.644075024474694e-07,,1.0753767242721616e-07
CH2CHOO <=> CH2CO + OH,-2.7220847485538695e-08,2.127981045105472e-07,,1.1231292473346946e-07
CH2CHOO <=> CH2O + HCO,-1.986029249500226e-07,4.853027749141271e-07,,2.1822281139794718e-07
CH2CHOO => CH2O + CO + H,-2.496633523657509e-08,1.1238594284385337e-07,,6.700313933147284e-08
CH2CHOO <=> CH3O + CO,-1.7218947049363518e-07,4.068406596930721e-07,,1.1890310243619164e-07
CH2CHOO <=> CH3 + CO2,-1.252926615343985e-07,3.753370577592595e-07,,2.565395596854244e-07
C2H5 + CH3O <=> C2H6 + CH2O,-4.42879387841104e-08,3.3812443029703644e-07,4.3466016052467153e-07,1.5419909429236701e-07
C2H5 + CH2OH <=> C2H6 + CH2O,-4.0158794499603466e-07,4.1285788200980785e-07,4.811223616338521e-07,3.6950496674846466e-07
C2H + C2H6 <=> C2H2 + C2H5,-6.149957466931346e-07,6.149957466931346e-07,5.403328777557791e-07,4.258292222836418e-07
CH3 + CH4 <=> C2H6 + H,1.287610291296235e-07,2.2107874492313983e-07,3.3315792710618045e-07,1.920568429359796e-07
C2H3 + C2H6 <=> C2H4 + C2H5,-1.3413285025874703e-07,3.497745036915832e-07,4.417932740266045e-07,2.164038684201257e-07
C2H6 + CH2 <=> C2H5 + CH3,1.7420417430768886e-07,1.7420417430768886e-07,1.6695990383602485e-07,1.30534848925467e-07
C2H6 + O2 <=> C2H5 + HO2,6.110211956718839e-09,2.609610459770511e-07,3.8360531847555753e-07,1.9601685933890447e-07
2 CH3 (+M) <=> C2H6 (+M),2.1085515373057022e-07,3.2136880475488585e-07,3.4501803669108923e-07,1.6959344795225557e-07
C2H6 + HO2 <=> C2H5 + H2O2,2.8441658750768323e-07,4.4020098088202763e-07,5.362989163607174e-07,2.9419143190812024e-07
C2H6 + OH <=> C2H5 + H2O,-6.768623418640116e-08,1.4797371940759767e-07,1.6095284673258185e-07,5.4488762496369674e-08
C2H6 + O <=> C2H5 + OH,-1.3052843043494264e-07,3.780996717559454e-07,4.237423765129225e-07,1.1108637661299911e-07
C2H6 + CH3 <=> C2H5 + CH4,2.1999382901190062e-07,3.042346385897425e-07,3.4430510119904746e-07,1.725503905777316e-07
C2H6 + CH2(S) <=> C2H5 + CH3,1.4656421616139641e-08,4.2385166551078996e-07,5.357062281905756e-07,2.0427613091045313e-07
C2H6 + CH <=> C2H4 + CH3,9.608383286941133e-08,2.894060863351776e-07,3.5358571242805523e-07,1.4609827485197086e-07
C2H6 + H <=> C2H5 + H2,-9.024441826613205e-08,3.6655812946897987e-07,4.6200397112256497e-07,2.13198689279371e-07
C2H5O2 (+M) <=> C2H4 + HO2 (+M),-1.760183638854364e-07,4.3878707588316404e-07,5.840190390612919e-07,2.8546762826976586e-07
C2H5O2 <=> CH2CH2O2H,3.1300653520725816e-07,4.2971413281315196e-07,4.5538877922176256e-07,2.5453037661835145e-07
C2H5O2 <=> CH3CHO + OH,1.036399410356285e-07,3.225269300221016e-07,4.1751584106944627e-07,1.9811076619985993e-07
C2H5O2 <=> CH3CH2O + O,-4.2746724293345445e-07,7.36884231460116e-07,9.812628519575738e-07,6.060363473139851e-07
2 C2H5O2 <=> 2 CH3CH2O + O2,2.034685366027631e-08,6.132085274876179e-08,8.698717663970677e-08,4.8492026295826644e-08
2 C2H5O2 <=> C2H5OH + CH3CHO + O2,-1.3541457499394214e-07,2.431177370312005e-07,3.5224379153981857e-07,2.0468185574961167e-07
C2H5O2 + HO2 <=> C2H5O2H + O2,-1.2530315403893625e-07,3.0673709285732534e-07,3.5891112107211805e-07,1.2799212389158441e-07
CH3CHOH <=> CH2CH2OH,6.706244303408544e-08,3.3932375107545936e-07,4.406056161110493e-07,1.942670084580913e-07
CH2CH2OH + O2 <=> O2C2H4OH,-7.325075080933293e-08,2.3177598287679976e-07,3.7300563829007716e-07,2.2054107431832662e-07
CH2CH2OH + O2 <=> C2H3OH + HO2,1.3925417029217392e-08,3.977584346777488e-07,5.551149204191334e-07,2.406131169265297e-07
CH2CH2OH + O2 <=> 2 CH2O + OH,-5.718380898754447e-08,3.714999433408197e-07,4.832672729314451e-07,1.980115385079345e-07
O2C2H4OH <=> C2H3OH + HO2,5.912358659391405e-08,4.34318257116671e-07,5.683891634174127e-07,2.449165747723455e-07
CH3CH2O + OH <=> CH3CHO + H2O,-2.644780421231386e-07,5.179230053639746e-07,6.510730148506461e-07,3.280033668014827e-07
CH3CH2O + H <=> C2H4 + H2O,2.394131557201823e-08,1.7915082027034343e-07,2.5743347689411417e-07,1.126966665996111e-07
CH3CH2O + H <=> CH2OH + CH3,-2.4317859652666087e-07,3.113717634235337e-07,4.162219499711587e-07,2.8691437346967024e-07
CH3CH2O + CO <=> C2H5 + CO2,2.1864766856210253e-07,2.7141566215736355e-07,3.144069359176518e-07,2.2050428186511854e-07
CH3CH2O + O2 <=> CH3CHO + HO2,3.871823913256743e-07,3.977146564047336e-07,3.555800744582739e-07,2.837801098076344e-07
CH3CH2O + M <=> CH2O + CH3 + M,-9.018057952440712e-08,1.0532217075223682e-07,1.328480033879639e-07,9.415159730608125e-08
CH3CH2O + M <=> CH3CHO + H + M,4.46726760137221e-08,5.111007687750446e-07,7.694753511454938e-07,4.248339463853232e-07
CH3CHOH + M <=> CH3CHO + H + M,1.7490153800795473e-07,2.6990766360418956e-07,3.034764183558583e-07,1.631870673168619e-07
CH3CHOH + OH <=> CH3CHO + H2O,8.654799872834663e-08,3.165860365902777e-07,3.6689902998597775e-07,1.1595712067769838e-07
CH3CHOH + HO2 <=> CH3CHO + 2 OH,1.522257014693304e-07,2.0462904951253645e-07,2.2086793842220802e-07,1.316851918272437e-07
CH3CHOH + H <=> CH2OH + CH3,1.4476495156637482e-08,3.353292858210149e-07,4.217083110348183e-07,1.3879823873954752e-07
CH3CHOH + H <=> C2H4 + H2O,1.5863909621807218e-07,1.643992876568442e-07,1.81690024334362e-07,1.5130927561575522e-07
CH3CHOH + O <=> CH3CHO + OH,1.2283669971497813e-07,4.0005198186882655e-07,4.894253737744403e-07,1.7823822487514454e-07
CH3CHOH + O2 <=> CH3CHO + HO2,-3.5297211833592195e-08,4.6905600079270927e-07,5.998892370552759e-07,2.4956962834518314e-07
CH3CHOH + O2 <=> C2H3OH + HO2,-1.374510091668168e-07,1.7628555847400608e-07,2.8265926394721666e-07,2.1926819441221167e-07
CH3CHOH + O2 <=> C2H4O2OH,-1.6570702338152994e-07,3.395135876215658e-07,4.267664769015483e-07,2.0197734115577942e-07
C2H4O2OH <=> C2H3OH + HO2,2.0850181699137323e-07,3.979483544540228e-07,4.4347893239781356e-07,1.6434475520370612e-07
CH3CHOH <=> CH3CH2O,-3.275219507051355e-07,3.275219507051355e-07,2.607254448610504e-07,2.0478762151754771e-07
C2H3OH + O2 <=> CH2CHO + HO2,8.481094971354486e-08,1.6211279941333554e-07,1.790710266010088e-07,7.266924128855746e-08
C2H3OH + H <=> CH2CHO + H2,-1.859195076321379e-07,2.668911384754587e-07,3.227285982769862e-07,1.864048566699873e-07
C2H3OH + O <=> CH2CHO + OH,-1.1349292477638668e-07,2.393301562051374e-07,2.5633273542487113e-07,8.300012247061685e-08
C2H3OH + OH <=> CH2CHO + H2O,-1.50696579863102e-07,3.390684187321415e-07,3.9855448244801593e-07,1.6618042206430853e-07
C2H3OH + CH3 <=> CH2CHO + CH4,-1.7413567472277017e-07,1.7413567472277017e-07,1.4771090490401956e-07,1.1561839094338993e-07
C2H3OH + HO2 <=> CH3CHO + HO2,1.0740042406208315e-07,2.0020812170171598e-07,2.73866724796078e-07,1.665564207998375e-07
C2H4O2OH <=> CH3CHO + HO2,-8.644422828811603e-08,3.588120481654215e-07,4.3359806536877526e-07,1.5533772064857858e-07
C2H3OH + CH3O2 <=> CH2CHO + CH3O2H,-2.980369714624992e-07,3.6512100951848166e-07,2.9939353175955364e-07,1.4487326515459252e-07
C2H5O2H <=> CH3CH2O + OH,-5.913911322125709e-08,1.302241441323303e-07,1.7325480146976036e-07,1.0024453262015057e-07
C2H5O2 + CH4 <=> C2H5O2H + CH3,2.3984296244533764e-07,3.2437670972523323e-07,3.3736694508270794e-07,1.9007574075466008e-07
C2H5O2 + C2H6 <=> C2H5 + C2H5O2H,-1.4805463524810716e-08,1.2776767478262707e-07,1.5856552595430598e-07,5.581323065879505e-08
C2H5O2 + C2H5OH <=> C2H5O2H + CH2CH2OH,-2.0031599643824597e-07,5.705501625491965e-07,7.711436850223559e-07,3.602391744457605e-07
C2H5OH + O <=> CH3CHOH + OH,-4.7434097924282947e-07,4.7434097924282947e-07,4.5602749664109235e-07,3.5896051872198394e-07
C2H5OH + O <=> CH2CH2OH + OH,-5.259996883966494e-07,6.313067124075747e-07,5.094059260006647e-07,2.394787924907425e-07
C2H5OH + O <=> CH3CH2O + OH,-1.6486715265121265e-08,1.8845248016021633e-07,2.766747250949107e-07,1.3328903047413045e-07
C2H5OH + H <=> CH3CHOH + H2,7.957366021211717e-09,1.1643508118751458e-07,1.4377608287896377e-07,4.632811750241225e-08
C2H5OH + H <=> CH2CH2OH + H2,2.8961141010780606e-07,2.8961141010780606e-07,2.582364834493245e-07,2.1897097055182686e-07
C2H5OH + H <=> CH3CH2O + H2,-1.4214158801827343e-07,2.730752667366552e-07,2.707655700585905e-07,6.386828350760145e-08
C2H5OH + OH <=> CH3CHOH + H2O,-1.2023197443998952e-07,1.7672204061762323e-07,2.5680426579717954e-07,1.455072449600952e-07
C2H5OH + OH <=> CH2CH2OH + H2O,1.7244330468874514e-08,2.84001849501469e-07,3.5533696492052476e-07,1.2438597335934695e-07
C2H5OH + OH <=> CH3CH2O + H2O,5.972934585697084e-08,3.8324179320710985e-07,4.6712547439052027e-07,1.481925662667248e-07
C2H5OH + HO2 <=> CH3CHOH + H2O2,-2.4520377193711746e-07,6.303325756512013e-07,7.286675707350907e-07,2.739247427190288e-07
C2H5OH + HO2 <=> CH2CH2OH + H2O2,1.3628768974407667e-07,3.1249282921391204e-07,4.094006397700775e-07,1.9756815848790265e-07
C2H5OH + HO2 <=> CH3CH2O + H2O2,3.1706937401475613e-07,3.201056136934076e-07,2.531963477412221e-07,2.0583266837823417e-07
C2H5OH + CH3 <=> CH3CHOH + CH4,-3.445171465039729e-07,4.794757798214562e-07,5.656418489944528e-07,3.3310673624083763e-07
C2H5OH + CH3 <=> CH2CH2OH + CH4,9.909625038691231e-08,2.3511352993695797e-07,2.8971285323128535e-07,1.127136347899419e-07
C2H5OH + CH3 <=> CH3CH2O + CH4,-4.2427587307439543e-07,4.636441456315108e-07,5.562589931813065e-07,3.996206163967644e-07
C2H5OH + CH3O <=> CH3CHOH + CH3OH,-1.7615881956173945e-07,5.864050268169012e-07,7.878835192219025e-07,3.428699974996175e-07
C2H5OH + CH3O <=> CH2CH2OH + CH3OH,-6.433039136620455e-08,1.6351361793270994e-07,2.1893128421633125e-07,1.1623875332825153e-07
C2H5OH + CH3O <=> CH3CH2O + CH3OH,6.308377550289623e-08,3.734483215566046e-07,4.806371930477541e-07,1.6692724547159294e-07
C2H5OH (+M) <=> C2H5 + OH (+M),1.2020253604281465e-07,3.165036656093513e-07,3.88364329538864e-07,1.682703343878309e-07
C2H5OH (+M) <=> C2H4 + H2O (+M),3.8159669416240496e-08,2.0599793343801946e-07,2.7239284738891435e-07,1.0665108239420749e-07
C2H5OH (+M) <=> CH2OH + CH3 (+M),-3.2804322975665345e-07,3.8585043945168994e-07,3.684513711707371e-07,2.271093402839544e-07
C2H5OH (+M) <=> CH3CHO + H2 (+M),0.0,0.0,0.0,0.0
C3H2 + OH <=> C2H2 + CO + H,3.438973130117744e-07,5.901207481558088e-07,7.648470224078498e-07,4.216143086976036e-07
C3H2 + O <=> C2H + CO + H,2.6008000461645804e-08,2.46497682544869e-07,2.897983993043027e-07,7.78598752206879e-08
C3H2 + O2 <=> C2H2 + CO2,6.494394305381284e-07,6.511284974875205e-07,7.204059064607303e-07,5.536781723341548e-07
C3H2 + O2 <=> HCCO + HCO,-1.200364735392837e-07,4.3759804173116645e-07,5.585538831170631e-07,2.0961261747851996e-07
H2CCCH + OH <=> C2H3 + HCO,-1.640247228751019e-07,4.92265886176133e-07,5.599803256943155e-07,1.490837004562422e-07
H + H2CCCH <=> C3H2 + H2,-2.3682450941926508e-07,3.244919170458291e-07,4.268818964521408e-07,2.8303343563729354e-07
H2CCCH + O <=> C2H + CH2O,-1.7774922789672375e-07,2.145318662586316e-07,2.0709541701346324e-07,1.3120711138592684e-07
H2CCCH + O2 <=> CH3CO + CO,-1.1021661917238524e-07,3.2442431694687307e-07,3.52860973959906e-07,6.377238280304173e-08
H2CCCH + O2 <=> C2H3 + CO2,-2.3971242238916825e-07,4.6545431383896914e-07,6.274559177632403e-07,3.4482838067750057e-07
2 C2H3 <=> CH3 + H2CCCH,-3.4760907152936536e-07,3.4760907152936536e-07,2.975847931639834e-07,2.3595101171759515e-07
C2H2 + HCCO <=> CO + H2CCCH,1.5133930718246864e-07,1.9277583172914648e-07,1.8138246892256582e-07,8.921869722310617e-08
C2H2 + CH2 <=> H + H2CCCH,2.4837893761919513e-07,2.764467071889733e-07,2.5697678200484115e-07,1.704337528557944e-07
C2H + CH3 <=> H + H2CCCH,-6.197405421236711e-08,1.5591755201938617e-07,2.1789569991574778e-07,1.3362763683454087e-07
H2CCCH + OH <=> C3H2 + H2O,-7.589384203722274e-07,7.620659895044124e-07,8.21450901267755e-07,5.982072666216756e-07
H2CCCH + O <=> C2H2 + CO + H,8.930188583871281e-08,2.1300696371399416e-07,2.606726288573425e-07,1.14308859569738e-07
H2CCCH + O2 <=> CH2CO + HCO,3.633599426160032e-07,3.6596740149025794e-07,4.6882861063144393e-07,3.7658330578848304e-07
C2H2 + CH2(S) <=> H + H2CCCH,3.6958411371239125e-09,2.5761947912784614e-07,3.2753509306558673e-07,1.1792761963679225e-07
C2H5 + C3H4 <=> C2H6 + H2CCCH,-2.7974992234199414e-07,3.5537283966862336e-07,3.5597854803030214e-07,2.0167672172003744e-07
C2H3 + C3H4 <=> C2H4 + H2CCCH,-2.4045893407267386e-07,3.445820179243015e-07,3.193734909389339e-07,1.4111968938388366e-07
C2H + C3H4 <=> C2H2 + H2CCCH,-1.5491382032529003e-09,3.364213711427458e-07,4.4178018913730777e-07,1.735334710846007e-07
C3H4 + CH3 <=> CH4 + H2CCCH,-3.6762305957267684e-09,2.2511606889293215e-07,2.802474240604762e-07,1.0770285983546425e-07
C3H4 + OH <=> H2CCCH + H2O,5.034233055473987e-08,5.181270137746947e-07,7.791491428407819e-07,3.7347662009448706e-07
C3H4 + OH <=> CH2CO + CH3,5.3573736839036006e-08,9.576069372339963e-08,1.6217065067343358e-07,9.934490658385189e-08
C3H4 + H <=> H2 + H2CCCH,1.119374156487299e-06,1.119374156487299e-06,1.719619604759242e-06,1.3890653368083051e-06
C3H4 + HO2 <=> H2CCCH + H2O2,1.4641498721332566e-07,1.9837128386037757e-07,1.8780831216872672e-07,7.795598648919736e-08
C3H4 + H <=> C2H2 + CH3,4.553242709811886e-07,5.475338934173199e-07,8.91370804473323e-07,6.629636465185862e-07
C3H4 + O <=> C2H4 + CO,4.6812795279308905e-07,6.017832074554054e-07,6.146608053741328e-07,3.8211756123404757e-07
C3H4 + O <=> C2H3 + HCO,4.668695037403963e-08,2.0946431152759355e-07,2.6864036699745023e-07,1.1559843509170086e-07
C3H4 + O <=> H2CCCH + OH,1.6578812855338422e-07,1.728121294228067e-07,1.6916698780858813e-07,1.3072945346980186e-07
C3H4 + O <=> CH3 + HCCO,-5.007325748870425e-08,1.7296676646308473e-07,2.91762551634944e-07,1.440823014991985e-07
C3H4 + O2 <=> H2CCCH + HO2,-2.1976391689671226e-08,4.394874626846228e-07,5.46085323894256e-07,1.7264100024433993e-07
H + H2CCCH (+M) <=> C3H4 (+M),4.215663622145408e-08,3.924555138712755e-07,6.284514998808179e-07,3.683062719633633e-07
C2H4 + CH <=> C3H4 + H,2.6406109875947617e-07,6.59884400799764e-07,8.934532787406739e-07,4.6703004925791845e-07
C2H2 + CH2 <=> C3H4,1.642448092711396e-07,2.210701668549158e-07,2.8207517835857263e-07,1.637276183247449e-07
C2H5 + C3H5 <=> C2H6 + C3H4,4.8058767130831997e-08,3.3600863064964834e-07,4.238396601801408e-07,1.4557126181056876e-07
C2H3 + C3H5 <=> C2H4 + C3H4,-1.5859603938321483e-08,5.072963853222904e-07,6.736427124049148e-07,2.9991442351709005e-07
C3H5 + HO2 => C2H3 + CH2O + OH,1.7791715791110242e-07,4.100591308355922e-07,5.405109762765727e-07,2.640883057223061e-07
C3H5 + HO2 <=> C2H4 + HCO + OH,-2.5195063938212787e-07,3.6030556652338286e-07,5.767062935053101e-07,4.4397252290355293e-07
C3H5 + OH <=> C3H4 + H2O,1.1950689526692354e-07,2.3298785891303877e-07,3.0902284639715855e-07,1.659267894549192e-07
C3H5 + OH <=> C2H4 + CH2O,1.5434746988187954e-07,4.141159485094293e-07,5.226756742221413e-07,2.2900266740916912e-07
C3H5 + H <=> C3H4 + H2,4.310314241890807e-07,4.974057420999992e-07,6.310219599590068e-07,5.197499498751244e-07
C2H3 + CH3 <=> C3H5 + H,5.388754195067628e-08,3.5598530303086795e-07,4.4787743956071086e-07,1.6215350711951653e-07
C3H5 + O => C2H4 + CO + H,-3.372405325655114e-09,2.9761642879281305e-07,3.7953561282491357e-07,1.346966840952211e-07
C3H5 + O <=> CH2CO + CH3,7.370034201830636e-07,8.342942998699224e-07,1.2419055993017769e-06,1.0123733300243525e-06
C3H5 + O2 <=> C3H4 + HO2,-9.882845466500884e-08,3.2524736566763153e-07,3.826537423914051e-07,1.1647414508552538e-07
