,mu,mu_star,sigma,mu_star_conf
C3H5 + O2 <=> CH2O + CH3 + CO,-4.549581263820862e-08,6.139211146674651e-07,8.330750778185411e-07,3.437655534397679e-07
C3H4 + H (+M) <=> C3H5 (+M),-4.583166263800057e-07,4.583166263800057e-07,1.7497743595845408e-07,1.3846754991616012e-07
C2H2 + CH3 <=> C3H5,-1.660298384443355e-07,4.3123626498031945e-07,5.870389226603348e-07,2.924200645055529e-07
C2H3 + C2H5 <=> C3H5 + CH3,4.0075773797088266e-07,4.857058731318553e-07,5.009238575809945e-07,3.004947933978404e-07
C2H5 + C3H6 <=> C2H6 + C3H5,2.7277798467252038e-09,2.9207039509219673e-07,4.100411361609954e-07,1.730333098817737e-07
C2H3 + C3H6 <=> C2H4 + C3H5,1.222941021695194e-07,2.2188451161612206e-07,3.3169218491397386e-07,2.23681282622297e-07
C2H + C3H6 <=> C2H3 + C3H4,-5.6880406072775404e-08,9.964402462346586e-08,1.0696864300877464e-07,4.337836369483907e-08
C3H6 + CH2 <=> C3H5 + CH3,1.515180721733851e-07,3.4493402104407317e-07,3.683195512797598e-07,1.0056485563875173e-07
C3H6 + CH3 <=> C3H5 + CH4,-1.0424329890815274e-07,1.0424329890815274e-07,1.3070853806127222e-07,1.0600223269842802e-07
C3H6 + HO2 <=> C3H5 + H2O2,2.155127448958236e-07,2.5147310379989783e-07,2.793850146808707e-07,1.7805665136835797e-07
C3H6 + OH <=> C2H5 + CH2O,2.9214025258370246e-07,2.991663013037388e-07,3.1057317900791065e-07,2.263401459665851e-07
C3H6 + OH <=> C3H5 + H2O,5.146992500769925e-07,5.146992500769925e-07,3.6407023486583645e-07,3.262433256490577e-07
C3H6 + H <=> C2H4 + CH3,-1.5283066318052702e-07,2.47537582681372e-07,2.498455344544162e-07,8.55757523860059e-08
C3H6 + H <=> C3H5 + H2,2.667810423377041e-07,3.5279796727358875e-07,5.756287750200617e-07,3.7124171143849487e-07
C3H6 + O <=> C2H4 + CH2O,2.714038688107908e-07,2.714038688107908e-07,2.023996113759509e-07,1.5760704480666732e-07
C3H6 + O <=> C2H5 + HCO,-4.237335138336089e-08,3.6562618165883953e-07,4.6110560967318683e-07,1.613757412816319e-07
C3H6 + O <=> C3H5 + OH,-1.2261829979039852e-07,3.3937255305849916e-07,4.7436948121788986e-07,2.1512195758928123e-07
C3H6 + O <=> CH2CO + CH3 + H,5.692882273065721e-08,1.6083289654948683e-07,1.8866643974953157e-07,6.752511721150164e-08
C3H6 + O <=> CH3 + CH3CO,4.870285956885313e-08,2.3637935152962138e-07,2.724815910549579e-07,6.942484218707e-08
C3H6 + O2 <=> C3H5 + HO2,5.893934958721479e-09,1.1260031429824453e-07,1.5147454545425788e-07,6.661542672331866e-08
C3H6 <=> C2H2 + CH4,2.8235585174818667e-07,4.6144760063501745e-07,6.035895567128114e-07,3.551056426107001e-07
C3H6 <=> C3H4 + H2,1.880930430951315e-07,3.005463571306446e-07,3.801447816999996e-07,2.108460253207034e-07
C3H5 + H (+M) <=> C3H6 (+M),-8.455370579190441e-07,8.45573311731293e-07,1.4703748945593513e-06,1.1128864257958393e-06
C2H3 + CH3 (+M) <=> C3H6 (+M),2.5323254656160484e-07,4.0803090116850367e-07,4.395168830579089e-07,1.811003620403341e-07
C2H3 + C3H5 <=> C2H2 + C3H6,2.05244591716959e-07,3.144880495956117e-07,3.787923981780902e-07,2.2364503879424294e-07
C3H5 + CH2O <=> C3H6 + HCO,-2.5238398287459373e-08,1.6538735513226532e-07,2.1226846117263316e-07,9.32812941861061e-08
2 C3H5 <=> C3H4 + C3H6,2.335445316305841e-09,4.839745317944832e-07,7.165632373082288e-07,3.349071340210067e-07
C3H4 + C3H5 <=> C3H6 + H2CCCH,-2.3330369635655832e-08,2.5178156247236947e-07,3.907660624254988e-07,2.0138317107212968e-07
C2H5 + C3H5 <=> C2H4 + C3H6,2.0850242259157251e-07,4.855906067591147e-07,6.380232826429357e-07,3.4364103418604233e-07
C3H6 + H (+M) <=> nC3H7 (+M),1.1164857640052405e-07,3.7902045155699824e-07,4.4515338218122384e-07,1.440735334388852e-07
O2 + nC3H7 <=> C3H6 + HO2,1.1839822107045667e-07,3.907356780857125e-07,4.681854855838474e-07,1.7115583098456939e-07
nC3H7 <=> C2H4 + CH3,-1.094241494519633e-07,2.7353685947648175e-07,3.853673309030959e-07,2.158923721304854e-07
CH3 + iC3H7 <=> C3H6 + CH4,1.9359845456436145e-07,4.0572231829836624e-07,4.752721615132678e-07,2.2220094266083408e-07
C3H6 + H (+M) <=> iC3H7 (+M),2.452975102849915e-08,2.605243825577526e-07,4.1401965028266426e-07,2.305270370341845e-07
O2 + iC3H7 <=> C3H6 + HO2,6.477572103329649e-08,3.6875279469228674e-07,4.993565986693929e-07,2.0640229596382856e-07
H + iC3H7 <=> C3H8,-2.545210832285641e-07,3.209024382412026e-07,3.133639214340522e-07,1.8121959902754448e-07
